,ccodealp,parl_power_index
0,AFG,0.38
1,ALB,0.75
2,DZA,0.25
3,AGO,0.44
4,ARG,0.5
5,ARM,0.56
6,AUS,0.63
7,AUT,0.72
8,AZE,0.44
9,BHR,0.19
10,BGD,0.59
11,BLR,0.25
12,BEL,0.75
13,BEN,0.56
14,BTN,0.22
15,BOL,0.44
16,BIH,0.63
17,BWA,0.44
18,BRA,0.56
19,BGR,0.78
20,BFA,0.53
21,BDI,0.41
22,KHM,0.59
23,CMR,0.25
24,CAN,0.72
25,CAF,0.34
26,TCD,0.22
27,CHL,0.56
28,CHN,0.34
29,COL,0.56
30,COM,0.38
31,COG,0.38
32,COD,0.25
33,CRI,0.53
34,CIV,0.38
35,HRV,0.78
36,CUB,0.28
37,CYP,0.41
38,CZE,0.81
39,DNK,0.78
40,DOM,0.41
41,ECU,0.53
42,EGY,0.28
43,SLV,0.59
44,ERI,0.25
45,EST,0.75
46,ETH,0.5
47,FJI,0.63
48,FIN,0.72
49,FRA,0.56
50,GAB,0.44
51,GMB,0.31
52,GEO,0.59
53,DEU,0.84
54,GHA,0.47
55,GRC,0.81
56,GTM,0.5
57,GIN,0.31
58,GNB,0.25
59,GUY,0.38
60,HTI,0.44
61,HND,0.53
62,HUN,0.75
63,IND,0.63
64,IDN,0.56
65,IRN,0.44
66,IRQ,0.63
67,IRL,0.66
68,ISR,0.75
69,ITA,0.84
70,JAM,0.63
71,JPN,0.66
72,JOR,0.22
73,KAZ,0.38
74,KEN,0.31
75,KWT,0.38
76,KGZ,0.47
77,LAO,0.28
78,LVA,0.78
79,LBN,0.5
80,LSO,0.53
81,LBR,0.44
82,LBY,0.13
83,LTU,0.78
84,MKD,0.81
85,MDG,0.41
86,MWI,0.38
87,MYS,0.34
88,MLI,0.34
89,MRT,0.31
90,MUS,0.66
91,MEX,0.44
92,MDA,0.75
93,MNG,0.84
94,MAR,0.31
95,MOZ,0.44
96,MMR,0.0
97,NAM,0.5
98,NPL,0.44
99,NLD,0.78
100,NZL,0.69
101,NIC,0.69
102,NER,0.5
103,NGA,0.47
104,PRK,0.13
105,NOR,0.72
106,OMN,0.16
107,PAK,0.44
108,PAN,0.5
109,PNG,0.66
110,PRY,0.56
111,PER,0.66
112,PHL,0.56
113,POL,0.75
114,PRT,0.63
115,QAT,0.22
116,ROU,0.72
117,RUS,0.44
118,RWA,0.47
119,SAU,0.09
120,SEN,0.44
121,SRB,0.69
122,SLE,0.41
123,SGP,0.38
124,SVK,0.72
125,SVN,0.75
126,SOM,0.0
127,ZAF,0.63
128,KOR,0.59
129,ESP,0.72
130,LKA,0.5
131,SDN,0.22
132,SWZ,0.25
133,SWE,0.72
134,CHE,0.72
135,SYR,0.31
136,TWN,0.59
137,TJK,0.31
138,TZA,0.31
139,THA,0.59
140,TLS,0.47
141,TGO,0.38
142,TTO,0.53
143,TUN,0.28
144,TUR,0.78
145,TKM,0.06
146,UGA,0.44
147,UKR,0.59
148,ARE,0.06
149,GBR,0.78
150,USA,0.63
151,URY,0.66
152,UZB,0.28
153,VEN,0.53
154,VNM,0.34
155,YEM,0.44
156,ZMB,0.28
157,ZWE,0.31
